cabin,content,date,destination,rating,route,title 
Economy,"
On time so no issue there, but the legroom was less than the flight coming over. The worst part was the no inflight entertainment. If you did not have their app already on your phone or tablet you were screwed. They would be happy to rent you their table for $10, but traveling with my wife would mean $20. Don't...
","Reviewed 9 April 2017
",Dublin - Toronto,ui_bubble_rating bubble_30,International,Dissapointed
Premium Economy,"
We went for my husbands 50th. We had the 1st class seating, So worth it !! So much chair and leg room. Flights on time. Staff very pleasant. Food was OK too. We have no complaints at all.
","Reviewed 9 April 2017
",Toronto - Montego Bay,ui_bubble_rating bubble_40,Caribbean,Jamaica Trip
Economy,"
I chose Air Canada vs KLM ! I thought Air Canada is a better airline. My experience was not that good with this flight from Toronto to Zurich, although I paid $100 for my seat 35k , my Tv was not working, I try to call the flight attendant, she came but she could not do anything for me, a...
","Reviewed 8 April 2017
",Vancouver - Zurich,ui_bubble_rating bubble_30,International,Service was so so
Economy,"
I fly West Jet on my way to T.O. for $250 and Air Canada back- a one way ticket for $690 (I was not flexible on the fight back..thus the super expensive ride). The flight was delayed over one hour because of a mechanical problem. No apologies, no word from the captain. When we finally boarded, many on board were...
","Reviewed 8 April 2017
",Toronto - Vancouver,ui_bubble_rating bubble_20,Domestic,"Expensive, late and no more food left..."
Economy,"
Pretty good. I was worried with the reviews I have seen, but it was a good flight.I had my daughter with me, so I was even more nervous, but I enjoyed it.
","Reviewed 8 April 2017
",Paris - Toronto,ui_bubble_rating bubble_50,International,Pretty good!
Economy,"
I was supposed to fly from London Heathrow to Columbus, Ohio via Toronto. After arriving in Toronto, I learned that my connecting flight was cancelled. I was rebooked on a flight several hours later. This was then delayed, and I became worried that it would be cancelled. However, after repeated inquiries with the Air Canada gate agent, I was informed...
","Reviewed 8 April 2017
",Toronto - Columbus,ui_bubble_rating bubble_10,USA,"Trip cancelled, horrible service"
Economy,"
Living in Canada, we have flown Air Canada a number of times as they are often the only airline with direct flights. After a number of poor experiences with this airline we now try to fly other airlines if possible. The staff often seem unhappy and unable to assist. On a couple of occasions they have left our bags behind...
","Reviewed 7 April 2017
",Vancouver - Barcelona,ui_bubble_rating bubble_20,International,"Poor service, leave bags to reduce weight"
Economy,"
I have to say I have flown multiples times to other places with Air Canada to give support to a ""Canadian company"" but after this experience I would rather pay more and fly with any other airline. I went to London and mid way I had a death in my family and wanted to return and so I called the...
","Reviewed 7 April 2017
",Toronto - London,ui_bubble_rating bubble_10,International,Will never fly again Air Canada again...at any cost
Premium Economy,"
We were not sure if we should choose Air Canada or Westjet. We chose Air Canada and it was a disaster. The flight was overpriced. the seats sucked and there was no on board service whatsoever. Oh well, live and learn. Next time try some body else. Unfortunately, flying out of Vancouver is a real challenge.
","Reviewed 7 April 2017
",Vancouver - Calgary,ui_bubble_rating bubble_20,Domestic,Our flight to nowhere
Business Class,"
I took this flight as part of an almost around the world trip in Business Class using Aeroplan points. I would say that out of the 6 flights, including one on the coveted Singapore Airlines, this was the best.
Air Canada has actually done a good job with the ""Dream Suites"" in business class. I find the seats comfortable and...
","Reviewed 7 April 2017
",Seoul - Vancouver,ui_bubble_rating bubble_40,International,Better than expected
Economy,"
Air Canada consistently misrepresented the flight status throughout the day. I missed my wife's birthday celebration. I could have driven home in time had Air Canada been forthcoming about their flights. As it was, I was stuck in the airport for over 8 hours waiting for the flights. I could have driven home twice before Air Canada finally took off....
","Reviewed 6 April 2017
",Toronto - Cleveland,ui_bubble_rating bubble_10,USA,Air Canada can't be trusted
Economy,"
Flight 1st connection from Hong Kong late (departed 2 hours late) so traveler had to overnight in Toronto. Because no connecting in formation on airline website or via phone, husband had two four hour trips from home to pick her up at Detroit. Baggage missing and no one on duty at Detroit counter to help and no baggage claim service....
","Reviewed 6 April 2017
",Hong Kong - Detroit Lakes,ui_bubble_rating bubble_20,International,Beware
Economy,"
Late evening flight from Montreal to Toronto City. Flight was shown as 'on-time' even when the plane was over 30 minutes late. When we finally left the gate, we waited another 30 minutes for deicing. Our flight took off 1h30 min later than planned. And finally, when we were mid-flight, they decided it was a good time to tell us...
","Reviewed 6 April 2017
",Montreal - Toronto,ui_bubble_rating bubble_20,Domestic,Would have been faster to drive
Economy,"
Do not expect any assistance from personnel while flying Air Canada. You are on your own. I left a passport in a back seat pocket and the airline said they would not help retrieve it. I knew exactly where it was but no help was offered after numerous phone calls. Air Canada would not even contact their representatives at the...
","Reviewed 6 April 2017
",Prince George - Palm Springs,ui_bubble_rating bubble_10,USA,Disgusting airline
Economy,"
They were great and offered a discount to fly out short notice. The flights were perfect, seats were comfy, televisions at each seat, all in all a nice experience.
You made a really lousy situation better....THANK-YOU!
","Reviewed 6 April 2017
",Toronto - Victoria,ui_bubble_rating bubble_50,Domestic,Last minute booking for funeral
Economy,"
OK, I love Canada, I would live there if I could. Canadians are welcoming friendly people that can not do too much to help a visitor.
Where did you go wrong Air Canada? A more jaded, surely flight crew I have not experienced for years. I gave the first crew the benefit of the doubt. For you though it proved...
","Reviewed 5 April 2017
",Brisbane - Vancouver,ui_bubble_rating bubble_20,International,Poor Service
Premium Economy,"
Travelling the red-eye to Munich on Saturday night, barely any noticed that the flight was delayed so I ended up rushing to the gate from enjoying the lounge for no reason but to just stand around. Originally told delay was 20 mins, didn't call for boarding in time so you knew we were delayed longer. Finally to my seat after...
","Reviewed 5 April 2017
",Toronto - Munich,ui_bubble_rating bubble_30,International,Delay ridden flight
Economy,"
Watch out for air canada and there policy of pre booking your seat as there is a chance that you could get bumped to standby because someone came along with cash in there pocket to pre book.They are calling it over booking, hog wash.Watch out for these situations.Outrageous.
","Reviewed 5 April 2017
",Toronto - Miami,ui_bubble_rating bubble_10,USA,Pre booking
Economy,"
This flight I booked through AC was actually Brussels airways I find out later and I couldn't pre-select seats. I called ahead and they said I could select when I arrived in Brussels for my next 8 hr flight. Of course that didn't work either. My food selections made online right on their site were not communicated through to Brussels...
","Reviewed 5 April 2017
",Toronto - Entebbe,ui_bubble_rating bubble_10,International,Terrible Organization
Economy,"
Meal was pre arranged, not delivered!
Really my only complaint!
It was an undramatic flight
My only issue was sleeping through meal delivery!
Thought someone would have delivered meal!
Luggage $25 first bag
","Reviewed 4 April 2017
",Toronto - Montego Bay,ui_bubble_rating bubble_30,Caribbean,"Great, but didn't receive meal!"
Premium Economy,"
My sister and her boyfriend were coming to Zurich for my daughter's confirmation. They decided to go via Toronto since they could fly an ultra-modern plane with special air pressure reduction. Anyway, their flight from Detroit to Toronto was cancelled and they only heard it at the airport. Instead of trying to put them on another airline's flight so they...
","Reviewed 4 April 2017
",Detroit - Toronto,ui_bubble_rating bubble_10,Canada,Air Canada cancelled Detroit to Toronto (again) with no attempt to help overseas travelers
Premium Economy,"
My sister and her boyfriend were coming to Zurich for my daughter's confirmation. They decided to go via Toronto since they could fly an ultra-modern plane with special air pressure reduction. Anyway, their flight from Detroit to Toronto was cancelled and they only heard it at the airport. Instead of trying to put them on another airline's flight so they...
","Reviewed 4 April 2017
",Detroit - Toronto,ui_bubble_rating bubble_10,Canada,Air Canada cancelled Detroit to Toronto (again) with no attempt to help overseas travelers
Business Class,"
Paid for an upgrade and got a lot for my money- new Dreamliner is very nice. The crew was much friendlier and attentive. But not all the kinks are worked out. Seating electronics were hit and miss, the movie selection was surprisingly poor.
On the return flight I sat in coach premium and treatment wasn't nearly as friendly. The food...
","Reviewed 4 April 2017
",Los Angeles - Toronto,ui_bubble_rating bubble_30,Canada,Not consistent experience
Business Class,"
Paid for an upgrade and got a lot for my money- new Dreamliner is very nice. The crew was much friendlier and attentive. But not all the kinks are worked out. Seating electronics were hit and miss, the movie selection was surprisingly poor.
On the return flight I sat in coach premium and treatment wasn't nearly as friendly. The food...
","Reviewed 4 April 2017
",Los Angeles - Toronto,ui_bubble_rating bubble_30,Canada,Not consistent experience
Business Class,"
Shortly after being seated I was greeted by the head inflight director who thanked me for again flying with Air Canada and asked me to let him know if I wished for anything. The overall service, meals and flat-bed seating cubicle with large monitor were all excellent.
Prior to boarding the flight, I spent about 45 minutes in the Maple...
","Reviewed 4 April 2017
",Toronto - Beijing,ui_bubble_rating bubble_50,International,Great customer service and wonderful AC031 flight from Toronto to Beijing
Economy,"
We went to London UK, an dour plane was set to leave at 11:00 at night, with was in my opinion too late. we got on the staff welcomed us in. the flight was great no turbulence captain was nice and we got to see London on landing !!!!
","Reviewed 3 April 2017
",Ottawa - London,ui_bubble_rating bubble_40,International,The staff is amazing !!!!!!!!!
Economy,"
We went to London UK, an dour plane was set to leave at 11:00 at night, with was in my opinion too late. we got on the staff welcomed us in. the flight was great no turbulence captain was nice and we got to see London on landing !!!!
","Reviewed 3 April 2017
",Ottawa - London,ui_bubble_rating bubble_40,International,The staff is amazing !!!!!!!!!
Business Class,"
I booked this flight with points and flew Business Class - on the way out - it's all good! For my return, I was bumped from Business Class with no reason and not given priority seating or explanation. I was offered upgrade of my meal.
This airline is frustrating - it's just a plane with basic service - it's often...
","Reviewed 3 April 2017
",Toronto - Kelowna,ui_bubble_rating bubble_30,Domestic,The Flight was Just Fine - the Service was mediocre
Business Class,"
First class seating was excellent. I am disabled and the assistance to and from the plane was excellent. Flight attendants were excellent. Food was good for being in plane.
","Reviewed 3 April 2017
",Winnipeg - Cancun,ui_bubble_rating bubble_50,Mexico,Airline flight 1566 / 1567
Business Class,"
First class seating was excellent. I am disabled and the assistance to and from the plane was excellent. Flight attendants were excellent. Food was good for being in plane.
","Reviewed 3 April 2017
",Winnipeg - Cancun,ui_bubble_rating bubble_50,Mexico,Airline flight 1566 / 1567
Premium Economy,"
Most people informed us that Air Canada had some real problems. Well we flew Air Canada Rouge to Spain and Air Canada back. We did fly plus on Rouge and first class coming back.
Everything went without a hitch including using the first class lounge in Madrid.
The cabin attendants were marvelous.
Enjoyed using the pads for entertainment
","Reviewed 3 April 2017
",Denver - Barcelona,ui_bubble_rating bubble_40,International,Not what we expected. Far better.
Premium Economy,"
Most people informed us that Air Canada had some real problems. Well we flew Air Canada Rouge to Spain and Air Canada back. We did fly plus on Rouge and first class coming back.
Everything went without a hitch including using the first class lounge in Madrid.
The cabin attendants were marvelous.
Enjoyed using the pads for entertainment
","Reviewed 3 April 2017
",Denver - Barcelona,ui_bubble_rating bubble_40,International,Not what we expected. Far better.
Economy,"
Bring your own headphones. Good ones. I was stuck with only cash and a crappy pair of ear plugs and couldn't purchase the onflight headphones for $3.50. But really, with the quality of the movies on board now-I would purchase my own set of sound cancelling full headphones for 25-40 dollars. Titles included recent academy award winners/nods Deepwater Horizon, Lion,...
","Reviewed 3 April 2017
",Frankfurt - Denver,ui_bubble_rating bubble_50,International,Be Prepared with decent quality personal headphones. Outstanding movie selections.
Economy,"
Bring your own headphones. Good ones. I was stuck with only cash and a crappy pair of ear plugs and couldn't purchase the onflight headphones for $3.50. But really, with the quality of the movies on board now-I would purchase my own set of sound cancelling full headphones for 25-40 dollars. Titles included recent academy award winners/nods Deepwater Horizon, Lion,...
","Reviewed 3 April 2017
",Frankfurt - Denver,ui_bubble_rating bubble_50,International,Be Prepared with decent quality personal headphones. Outstanding movie selections.
Economy,"
THe service on these so called Rouge flights and well any Air Canada flight is ridiculous. First off they were accomadating to my special needs at the airport and I am grateful to the attendants at Pearson and in the Bahamas. However the fact that I can't pick my own seats at all 24 hours prior is ridiculous because I...
","Reviewed 3 April 2017
",Toronto - Nassau,ui_bubble_rating bubble_20,Caribbean,Air Canada needs work
Economy,"
THe service on these so called Rouge flights and well any Air Canada flight is ridiculous. First off they were accomadating to my special needs at the airport and I am grateful to the attendants at Pearson and in the Bahamas. However the fact that I can't pick my own seats at all 24 hours prior is ridiculous because I...
","Reviewed 3 April 2017
",Toronto - Nassau,ui_bubble_rating bubble_20,Caribbean,Air Canada needs work
Premium Economy,"
I had not used Air Canada for a long time. I recently heard about their premium economy section, and we decided to trial it. For half of a long haul flight, the in flight service stopped working. The flight attendants were unhelpful, and never offered to apologize for this inconvenience. We had to ask three different people over the course...
","Reviewed 3 April 2017
",Hong Kong - Toronto,ui_bubble_rating bubble_10,International,'Premium Economy' is a joke
Premium Economy,"
I had not used Air Canada for a long time. I recently heard about their premium economy section, and we decided to trial it. For half of a long haul flight, the in flight service stopped working. The flight attendants were unhelpful, and never offered to apologize for this inconvenience. We had to ask three different people over the course...
","Reviewed 3 April 2017
",Hong Kong - Toronto,ui_bubble_rating bubble_10,International,'Premium Economy' is a joke
Business Class,"
We booked with Aeroplan points about 11 months ahead of time and were supposed to arrive in Ottawa at 11:30 p.m. so I booked and paid for a car rental at Ottawa airport. Found out myself (airline did not advise me) that our flight time via Toronto had changed and we would only arrive in Ottawa at 1:30 a.m. and...
","Reviewed 2 April 2017
",Puerto Vallarta - Ottawa,ui_bubble_rating bubble_20,Canada,Took us 17 hours and only had lunch
Economy,"
I flight twice from Montreal to Halifax with AC. First was for 3 days and the last was daily. The weather condition on first travel was really bad compare to second, but yet we did not have much problem.
Unfortunately return of my second trip was a disaster. Even though weather condition were seems ok, they have just cancelled the...
","Reviewed 2 April 2017
",Halifax - Montreal,ui_bubble_rating bubble_20,Domestic,They were terrible 
Economy,"
This is the third time our flight got canceled. The first two times from Detroit to Toronto and we were not notified the night before, yet other passengers were notified. We could have driven to Toronto and still made our connection to BC from Toronto, so our ski trip was delayed again. On the way back from this trip, our...
","Reviewed 2 April 2017
",Detroit - Toronto,ui_bubble_rating bubble_10,Canada,Negative review if possible
Economy,"
I was unaware that Air Canada refit their Boeing 777s with high density seating for the economy class. The result is the most dreadful international flight my wife and I have ever taken. I am less than 5'7"" and felt cramped in the seats. They are spaced so close together that I had to use my feet to retrieve my...
","Reviewed 2 April 2017
",Toronto - Hong Kong,ui_bubble_rating bubble_30,International,Sardine Can
Economy,"
I was unaware that Air Canada refit their Boeing 777s with high density seating for the economy class. The result is the most dreadful international flight my wife and I have ever taken. I am less than 5'7"" and felt cramped in the seats. They are spaced so close together that I had to use my feet to retrieve my...
","Reviewed 2 April 2017
",Toronto - Hong Kong,ui_bubble_rating bubble_30,International,Sardine Can
Economy,"
Our trip had three flights (two connections). Barbados to Toronto flight 1715 / Toronto to Vancouver flight 151 / Vancouver to Kelowna flight 8396.
Flight was delayed in Barbados 2.5 hours. Our connecting flight TO to Van we now were going to miss. By the way I rated them terrible and it wouldn't let me post, so had to rate...
","Reviewed 2 April 2017
",Bridgetown - Kelowna,ui_bubble_rating bubble_10,International,Treated like cartage and non human
Economy,"
The Air Canada experience was the worst I have had to deal with in a very long time. You think the US legacy carriers are bad, think again. Originally I was pleased that I saved some significant amount of money for our family's spring break trip, but that ended at 6am at the airport when we had to wait for...
","Reviewed 2 April 2017
",Chicago - Cancun,ui_bubble_rating bubble_20,Mexico,Worst Baggage and Check-In Management 
Economy,"
The Air Canada experience was the worst I have had to deal with in a very long time. You think the US legacy carriers are bad, think again. Originally I was pleased that I saved some significant amount of money for our family's spring break trip, but that ended at 6am at the airport when we had to wait for...
","Reviewed 2 April 2017
",Chicago - Cancun,ui_bubble_rating bubble_20,Mexico,Worst Baggage and Check-In Management 
Economy,"
we start our journy in Bodø, we landed in oslo, we we're so excited because it was our first time in usa. We did enjoy our vacation we was in LA first and next to Las Vegas and after las vegas San Francisco. And went well The best vacation a lot of tourist spot around.
","Reviewed 2 April 2017
",Oslo - Toronto,ui_bubble_rating bubble_20,International,Not bad.
Economy,"
We flew to Shanghai via Vancouver and back only because of some circumstances/commitments that other family members had already made. Never flown Air Canada before. The outbound flight to Shanghai was OK. The flight was on a 787 Dreamliner. We were in economy, with seating in a 3-3-3 arrangement. I got the middle set of seats, but luckily, I was...
","Reviewed 2 April 2017
",Vancouver - Shanghai,ui_bubble_rating bubble_20,International,Will Never Fly This Airline Again If I Have the Choice
Economy,"
We flew to Shanghai via Vancouver and back only because of some circumstances/commitments that other family members had already made. Never flown Air Canada before. The outbound flight to Shanghai was OK. The flight was on a 787 Dreamliner. We were in economy, with seating in a 3-3-3 arrangement. I got the middle set of seats, but luckily, I was...
","Reviewed 2 April 2017
",Vancouver - Shanghai,ui_bubble_rating bubble_20,International,Will Never Fly This Airline Again If I Have the Choice
Economy,"
While the flight and the airport were great, the schedule was not since we had to spend the night in Toronto waiting for our connecting flight.
","Reviewed 1 April 2017
",Tampa - Hong Kong,ui_bubble_rating bubble_40,International,Great rate to Hong Kong
Premium Economy,"
Just purchased an upgrade for my Son as a present because in addition to more legroom and bigger seats he gets access to the Maple Leaf Lounge by paying $25.00 and thought that would be a good deal as he has to spend a lot of time before the flight.
Cost $722 for the upgrade on the flight from Vancouver...
","Reviewed 1 April 2017
",Vancouver - Brisbane,ui_bubble_rating bubble_30,International,New Premium Economy Class upgrade on International Flight
Premium Economy,"
Just purchased an upgrade for my Son as a present because in addition to more legroom and bigger seats he gets access to the Maple Leaf Lounge by paying $25.00 and thought that would be a good deal as he has to spend a lot of time before the flight.
Cost $722 for the upgrade on the flight from Vancouver...
","Reviewed 1 April 2017
",Vancouver - Brisbane,ui_bubble_rating bubble_30,International,New Premium Economy Class upgrade on International Flight
Economy,"
Well the only good thing I can say is that check in was quick and efficient. After that it went downhill. Service at the gates was very lack luster, more concerned with talking to eachother then talking to guest as they come up with questions. Flight was ok. Deplane in Comox was fine and everything arrived as it should.
Returning...
","Reviewed 1 April 2017
",Edmonton - Comox,ui_bubble_rating bubble_10,Domestic,"Its a shame they are ""Canada's Airline"""
Economy,"
Well the only good thing I can say is that check in was quick and efficient. After that it went downhill. Service at the gates was very lack luster, more concerned with talking to eachother then talking to guest as they come up with questions. Flight was ok. Deplane in Comox was fine and everything arrived as it should.
Returning...
","Reviewed 1 April 2017
",Edmonton - Comox,ui_bubble_rating bubble_10,Domestic,"Its a shame they are ""Canada's Airline"""
Economy,"
We found the Sky tours website just by looking on line for cheap flights. The price was great, so we booked. In about 1-2 hours we received our electronic tickets, and had no issues with either the payment or the flights. We would for sure use this company again. Don't believe any negative reviews, this company is great. Air Canada...
","Reviewed 1 April 2017
",Edmonton - Orlando,ui_bubble_rating bubble_50,USA,Sky Tours - great experience
Economy,"
We found the Sky tours website just by looking on line for cheap flights. The price was great, so we booked. In about 1-2 hours we received our electronic tickets, and had no issues with either the payment or the flights. We would for sure use this company again. Don't believe any negative reviews, this company is great. Air Canada...
","Reviewed 1 April 2017
",Edmonton - Orlando,ui_bubble_rating bubble_50,USA,Sky Tours - great experience
Economy,"
We booked an Air Canada return flight months before our holiday. A couple/three weeks before our flight we were informed of an itinerary change and we got bumped down to the bargain basement Rouge branch of Air Canada. No compensation offered. No entertainment, unless you wish to rent one of their units. Narrow uncomfortable seats with minimal leg room. Older...
","Reviewed 1 April 2017
",Toronto - Puerto Vallarta,ui_bubble_rating bubble_20,Mexico,will look for another
Economy,"
We booked an Air Canada return flight months before our holiday. A couple/three weeks before our flight we were informed of an itinerary change and we got bumped down to the bargain basement Rouge branch of Air Canada. No compensation offered. No entertainment, unless you wish to rent one of their units. Narrow uncomfortable seats with minimal leg room. Older...
","Reviewed 1 April 2017
",Toronto - Puerto Vallarta,ui_bubble_rating bubble_20,Mexico,will look for another
Business Class,"
The day started off bad. Took almost 40 minutes to check us in for our flight. Then when we got to Toronto all hell broke loose. Tried to get on a different flight (earlier) could not because suddenly my husband had checked luggage, which he did not so they would not let hime switch to earlier flight with me. Then...
","Reviewed 1 April 2017
",Punta Cana - Chicago,ui_bubble_rating bubble_10,International,Worst Airlines Ever!
Business Class,"
The day started off bad. Took almost 40 minutes to check us in for our flight. Then when we got to Toronto all hell broke loose. Tried to get on a different flight (earlier) could not because suddenly my husband had checked luggage, which he did not so they would not let hime switch to earlier flight with me. Then...
","Reviewed 1 April 2017
",Punta Cana - Chicago,ui_bubble_rating bubble_10,International,Worst Airlines Ever!
Economy,"
Never book with expedia. I tried to book the flight to France. The transaction appeared did not go through and I did not received any confirmation from them and nothing was sent to my cellphone . I checked my visa the transaction were pending but then disappeared. I thought it did not go through and proceeded to book another flight....
","Reviewed 1 April 2017
",Montreal - Nice,ui_bubble_rating bubble_10,International,Never book through Expedia! Very bad bad service charged twice they did mistake. Never got money back
Economy,"
I took a 6pm flight from London Heathrow to Toronto,check-in and boarding was all good, very quick and efficient. I was flying on the 787 dreamliner which inside had been newly revamped and was very clean and tidy, the seats were much more comfortable than before and they seemed to have more legroom. The in-flight entertainment was standard but was...
","Reviewed 1 April 2017
",London - Toronto,ui_bubble_rating bubble_40,International,Good flight.
Economy,"
I took a 6pm flight from London Heathrow to Toronto,check-in and boarding was all good, very quick and efficient. I was flying on the 787 dreamliner which inside had been newly revamped and was very clean and tidy, the seats were much more comfortable than before and they seemed to have more legroom. The in-flight entertainment was standard but was...
","Reviewed 1 April 2017
",London - Toronto,ui_bubble_rating bubble_40,International,Good flight.
Business Class,"
My flight to into Toronto was delayed leaving a tight connection for my onward flight. There was no help getting through the airport and no flexibility to hold the doors open for a few minutes for the ten people attempting to make the connection. Having missed the connection (despite presenting at the gate 10 minutes before departure time), we were...
","Reviewed 1 April 2017
",Houston - Toronto,ui_bubble_rating bubble_10,Canada,Terrible Air Canada service at Toronto Pearson airport
Business Class,"
My flight to into Toronto was delayed leaving a tight connection for my onward flight. There was no help getting through the airport and no flexibility to hold the doors open for a few minutes for the ten people attempting to make the connection. Having missed the connection (despite presenting at the gate 10 minutes before departure time), we were...
","Reviewed 1 April 2017
",Houston - Toronto,ui_bubble_rating bubble_10,Canada,Terrible Air Canada service at Toronto Pearson airport
Economy,"
be very careful to confirm flight details as they have a tendency to change schedules and not tell travellers.
communications is by far their weakest asset, I called the airline 3 times and I was given three different times for flying in and out.
if youre traveling with children, I would defiantly steer clear of this airline, pay a little...
","Reviewed 31 March 2017
",London - Orlando,ui_bubble_rating bubble_10,International,a total disaster before we've even flown with AC
Economy,"
be very careful to confirm flight details as they have a tendency to change schedules and not tell travellers.
communications is by far their weakest asset, I called the airline 3 times and I was given three different times for flying in and out.
if youre traveling with children, I would defiantly steer clear of this airline, pay a little...
","Reviewed 31 March 2017
",London - Orlando,ui_bubble_rating bubble_10,International,a total disaster before we've even flown with AC
Business Class,"
Due to the business class service this is my airline of choice to travel for trips over 4 hours. Generally speaking they run pretty much on time. The offer of movies food,snacks and beverages is quite good. The best thing though is that you get pretty good service from the F.A.'s. Will be using them again for our next trip.
","Reviewed 31 March 2017
",Calgary - Punta Cana,ui_bubble_rating bubble_40,Caribbean,Good flight
Economy,"
The staff was friendly and we were on a plane where each passenger had their own screen and could watch whatever, it is great when travelling with kids!
","Reviewed 31 March 2017
",Edmonton - Orlando,ui_bubble_rating bubble_30,USA,"Friendly staff, helpful"
Economy,"
The staff was friendly and we were on a plane where each passenger had their own screen and could watch whatever, it is great when travelling with kids!
","Reviewed 31 March 2017
",Edmonton - Orlando,ui_bubble_rating bubble_30,USA,"Friendly staff, helpful"
Economy,"
Took air Canada to Orlando during march break with kids. It seems onboard entertainment is all done via your iPad or phone using their app. No more snacks. They charge for checked bags so it seems like everyone bring a carry on baggage and many people have no space in the overhead storage. Flight attendants not too friendly.
Online check...
","Reviewed 30 March 2017
",Toronto - Orlando,ui_bubble_rating bubble_30,USA,Ok flight
Economy,"
Took air Canada to Orlando during march break with kids. It seems onboard entertainment is all done via your iPad or phone using their app. No more snacks. They charge for checked bags so it seems like everyone bring a carry on baggage and many people have no space in the overhead storage. Flight attendants not too friendly.
Online check...
","Reviewed 30 March 2017
",Toronto - Orlando,ui_bubble_rating bubble_30,USA,Ok flight
Economy,"
Nothing overly bad about Air Canada, just nothing to brag about.
Average legroom, pretty poor entertainment systems and food was quite bland.
Would fly BA on this route in future
","Reviewed 30 March 2017
",London - Toronto,ui_bubble_rating bubble_30,International,Not a great experience 
Economy,"
Nothing overly bad about Air Canada, just nothing to brag about.
Average legroom, pretty poor entertainment systems and food was quite bland.
Would fly BA on this route in future
","Reviewed 30 March 2017
",London - Toronto,ui_bubble_rating bubble_30,International,Not a great experience 
Economy,"
Families with young children should not fly AirCanada!!!!!!!
I booked my ticket through Cheap Tickets. When I called Cheaptickets to book my 17 month old, the agent said it was AirCanada who needed to book my daughter. When I called AirCanada, they said it was Cheaptickets. I had to go back and forth between AirCanada and Cheaptickets spending over 10...
","Reviewed 30 March 2017
",London - Toronto,ui_bubble_rating bubble_10,International,refuse to book infant child
Economy,"
Families with young children should not fly AirCanada!!!!!!!
I booked my ticket through Cheap Tickets. When I called Cheaptickets to book my 17 month old, the agent said it was AirCanada who needed to book my daughter. When I called AirCanada, they said it was Cheaptickets. I had to go back and forth between AirCanada and Cheaptickets spending over 10...
","Reviewed 30 March 2017
",London - Toronto,ui_bubble_rating bubble_10,International,refuse to book infant child
Economy,"
Such a nice flight, even though it took several hours. Good food, nice people and a large selection of entertainment certainly made the time go faster.
","Reviewed 30 March 2017
",Oslo - Vancouver,ui_bubble_rating bubble_50,International,Great experience
Economy,"
Such a nice flight, even though it took several hours. Good food, nice people and a large selection of entertainment certainly made the time go faster.
","Reviewed 30 March 2017
",Oslo - Vancouver,ui_bubble_rating bubble_50,International,Great experience
Economy,"
My boyfriend and I flew from Toronto to Calgary. We normally fly west jet, but we decided to try AC out. We connected into Toronto and almost missed our flight due to air traffic delays. Surprisingly enough we were able to catch our Calgary flight and our luggage was also able to make it! We were worried because we've heard...
","Reviewed 30 March 2017
",Toronto - Calgary,ui_bubble_rating bubble_40,Domestic,Never had any issues 
Economy,"
My boyfriend and I flew from Toronto to Calgary. We normally fly west jet, but we decided to try AC out. We connected into Toronto and almost missed our flight due to air traffic delays. Surprisingly enough we were able to catch our Calgary flight and our luggage was also able to make it! We were worried because we've heard...
","Reviewed 30 March 2017
",Toronto - Calgary,ui_bubble_rating bubble_40,Domestic,Never had any issues 
Economy,"
I chose Air Canada because it was one of the cheaper options. The flight was not crowded, so I lucked out and got a row to myself, so I had a more legroom than I would have had. The service was alright, but it was nothing to write home about. The only thing I did not like was the seat...
","Reviewed 30 March 2017
",Santiago - Buenos Aires,ui_bubble_rating bubble_30,South America,Comfortable with No Problems
Economy,"
Flying back from Vancouver was my most quickest, simple checking ever, took less than ten minutes.
no crowds, no long queues, just a breeze and a pleasure, everything was on time and to schedule, nice new planes too.
Overall, a great experience.
","Reviewed 30 March 2017
",London - Vancouver,ui_bubble_rating bubble_50,International,"Speediest, simplest checking ever"
Economy,"
Air Canada is still the safest, cleanest, and usually the most efficient and time-frame airline to use within Canada. I have had a few unfortunate flights, some due to bad weather, others perhaps just poor management , but in all I still book 90% of my flights with Air Canada. One item I wished they would have in place is...
","Reviewed 29 March 2017
",Edmonton - St. John's,ui_bubble_rating bubble_40,Domestic,Flights within Canada with Air Canada Airlines
Economy,"
Other Star Alliance airlines recognise your status - but not Air Canada. Almost at the back - middle seat. No type of recognition at all. Staff ok, planes pretty old.
","Reviewed 29 March 2017
",Los Angeles - Toronto,ui_bubble_rating bubble_20,Canada,Star Alliance in Name only
Economy,"
After reading other reviews about Air Canada losing bags it happened to us.. the staff at Pearson were less than helpful, we were told to fill out a form and give it to customs.. did that and was told to go to Calgary and fill out a complaint form there.. when we did that was told our bag had not...
","Reviewed 29 March 2017
",Toronto - Varadero,ui_bubble_rating bubble_10,Caribbean,Lost bag
Economy,"
After reading other reviews about Air Canada losing bags it happened to us.. the staff at Pearson were less than helpful, we were told to fill out a form and give it to customs.. did that and was told to go to Calgary and fill out a complaint form there.. when we did that was told our bag had not...
","Reviewed 29 March 2017
",Toronto - Varadero,ui_bubble_rating bubble_10,Caribbean,Lost bag
Economy,"
The front line staff that you meet when you travel are the ones that create the reputation for the airline,they do not get the appreciation from the company that they deserve,I have only good things to say about all of the people I have met when I travel (I wish they were working for me) Ha!Ha!Ha! Kudos to the staff...
","Reviewed 29 March 2017
",Medicine Hat - London,ui_bubble_rating bubble_40,International,Excellent service on the ground and in the air
